,No.,name,rating,location,category,startrange,endrange,price,pricerank,"ăn vặt, ăn vặt vỉa hè","đồ ăn sáng, đồ ăn sáng vỉa hè",quán cơm văn phòng,"quán cơm bình dân, cơm mang đi",đồ ăn nhanh,"cơm, phở","đồ ăn hàn quốc, nhà hàng hàn quốc","đồ ăn nhật bản, nhà hàng nhật bản",nhà hàng,pizza,nhà hàng chay,trà sữa,cafe,"bánh ngọt, bánh sinh nhật"
63,63,bánh cuốn & gà tần - đội cấn,7.3,quận ba đình,nhà hàng,20000,100000,cheap,1,,x,x,,,,,,x,,,,x,
64,64,q-tea - đồ hàn online,7.1,quận tây hồ,delivery,20000,50000,cheap,1,,,,,,,,,,,,,x,
65,65,fhouse - đồ âu & cơm văn phòng,8.1,quận thanh xuân,nhà hàng,30000,300000,medium,2,,x,x,x,,,,,x,,,,,
66,66,dzui - đồ ăn vặt,6.2,quận đống đa,ăn vặt vỉa hè,15000,30000,cheap,1,x,x,,,x,,,,,,,,x,
67,67,hằng béo - đồ ăn vặt ba miền online,7.1,quận đống đa,delivery,20000,140000,medium,2,x,x,,,x,,,,,,,,x,
68,68,the pizza company - đoàn trần nghiệp,6.8,quận hai bà trưng,nhà hàng,50000,220000,medium,2,,,,,,,,,,x,,,,
69,69,sio sushi - đoàn trần nghiệp,8.0,quận hai bà trưng,nhà hàng,150000,200000,medium,2,,,,,,,,x,,,,,,
70,70,hoolong - dumpling bar - đoàn trần nghiệp,7.6,quận hai bà trưng,nhà hàng,250000,350000,medium,2,,,,,,,,,x,,,,,
71,71,hẻm 8 - đoàn trần nghiệp,7.6,quận hai bà trưng,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
72,72,cuốn n roll restaurant - đoàn trần nghiệp,7.4,quận hai bà trưng,nhà hàng,40000,200000,medium,2,,,,,,,,,x,,,,,
73,73,cuốn n roll - đoàn trần nghiệp,7.6,quận hai bà trưng,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,,
74,74,bún ốc sườn cô sáu - đoàn thị điểm,3.4,quận đống đa,nhà hàng,25000,50000,cheap,1,x,,x,x,,x,,,,,,,,
75,75,sexyfood - đồ ăn healthy online,8.6,quận đống đa,delivery,50000,60000,cheap,1,,,,,,,,,,,,,,
76,76,tteok & kim - đồ ăn hàn quốc,7.5,quận hai bà trưng,delivery,15000,25000,cheap,1,x,,,,,,,,,,,,,
77,77,kim phan's food - đồ ăn hàn quốc online,7.7,quận đống đa,delivery,30000,55000,cheap,1,x,,,,,,,,,,,,,
78,78,bếp nhà ủn - đồ ăn hàn quốc online,7.7,quận tây hồ,delivery,20000,50000,cheap,1,x,,,,,,,,,,,,,
79,79,mokchang - đồ ăn hàn quốc,7.3,quận đống đa,nhà hàng,100000,300000,medium,2,x,,,,,,,,,,,,,
80,80,bapbap quán - đồ ăn hàn quốc,7.1,quận đống đa,nhà hàng,30000,70000,cheap,1,x,,,,,,,,,,,,,
81,81,đinh cafe - đinh tiên hoàng,7.5,quận hoàn kiếm,cafe tráng miệng,30000,70000,cheap,1,,,x,,,,,,,,,x,x,
82,82,wrap&roll - đinh tiên hoàng,6.1,quận hoàn kiếm,nhà hàng,40000,165000,medium,2,,,,,,,,,x,,,,,
83,83,smoothies & juices - đinh tiên hoàng,7.9,quận hoàn kiếm,cafe tráng miệng,25000,50000,cheap,1,,,x,,,,,,,,x,x,x,
84,84,"long vi dung - nộm, nem, bánh bột lọc - đinh tiên hoàng",5.1,quận hoàn kiếm,ăn vặt vỉa hè,15000,40000,cheap,1,,,,,,,,,,,,,x,
85,85,helio coffee - đinh tiên hoàng,7.6,quận hoàn kiếm,cafe tráng miệng,33000,130000,medium,2,,,x,,,,,,,,,x,x,
86,86,hanoi time coffee - đinh tiên hoàng,7.6,quận hoàn kiếm,cafe tráng miệng,20000,50000,cheap,1,,,x,,,,,,,,,x,x,
87,87,bánh mì phố - đinh tiên hoàng,5.3,quận hoàn kiếm,ăn vặt vỉa hè,25000,50000,cheap,1,,x,,x,,,,,,,,,x,
88,88,h3q pizza miki - đình ngang,7.0,quận hoàn kiếm,cafe tráng miệng,50000,132000,medium,2,,,,,,,,,,x,,,,
89,89,cơm viên - đình ngang,6.2,quận hoàn kiếm,nhà hàng,38000,75000,cheap,1,,x,x,x,,,,,x,,,,,
90,90,bánh tôm hàng bồ - đình ngang,7.6,quận hoàn kiếm,nhà hàng,7000,55000,cheap,1,,,,,,,,,x,,,,x,
91,91,quà quê - đinh liệt,7.4,quận hoàn kiếm,ăn vặt vỉa hè,3000,10000,cheap,1,x,x,,,x,,,,,,,,x,
92,92,mì vằn thắn - đinh liệt,7.4,quận hoàn kiếm,nhà hàng,20000,40000,cheap,1,,x,,x,,,,,,,,,,
93,93,bánh bao & bánh mì bít tết - đinh liệt,7.2,quận hoàn kiếm,nhà hàng,10000,60000,cheap,1,,x,,x,,,,,,,,,x,
94,94,vintage 1976 cafe - đinh lễ,7.2,quận hoàn kiếm,cafe tráng miệng,35000,50000,cheap,1,,,x,,,,,,,,,x,x,
95,95,royaltea vietnam by hongkong - định công,4.3,quận hoàng mai,cafe tráng miệng,30000,55000,cheap,1,,,,,,,,,,,,,x,
96,96,royaltea - định công,9.9,quận hoàng mai,cafe tráng miệng,20000,50000,cheap,1,,,,,,,,,,,,,x,
97,97,gà rán kfc - định công,6.6,quận hoàng mai,nhà hàng,30000,88000,cheap,1,,,,,x,,,,x,,,,,
98,98,cơm ngũ vị - shop online - định công,7.1,quận hoàng mai,delivery,30000,60000,cheap,1,,x,x,x,,,,,x,,,,,
99,99,lẩu nấm ashima - điện biên phủ,7.8,quận hoàn kiếm,nhà hàng,50000,300000,medium,2,,,,,,,,,x,,,,,
100,100,cộng cà phê - điện biên phủ,7.5,quận ba đình,cafe tráng miệng,35000,77000,cheap,1,,,x,,,,,,,,,,x,
101,101,tào phớ loki house - đh hà nội,4.1,quận thanh xuân,cafe tráng miệng,15000,50000,cheap,1,,,x,,,,,,,,x,x,x,
102,102,chè bun - đh hà nội,6.8,quận thanh xuân,nhà hàng,15000,33000,cheap,1,,,,,,,,,x,,,,,
103,103,nhím quán - bánh tráng trộn sài gòn - đền lừ,7.1,quận hoàng mai,ăn vặt vỉa hè,15000,30000,cheap,1,x,,,,,,,,,,,,x,
104,104,dimsum điểm tâm đài loan - đền lừ,7.3,quận hoàng mai,nhà hàng,20000,40000,cheap,1,,,,,,,,,x,,,,,
105,105,bò ngon 555 - đền lừ,7.2,quận hoàng mai,nhà hàng,120000,150000,medium,2,,,,,,,,,x,,,,,
106,106,big beer club - đền lừ,8.0,quận hoàng mai,nhà hàng,150000,300000,medium,2,,,,,,,,,x,,,,,
107,107,bánh mì b+ - đền lừ,7.1,quận hoàng mai,nhà hàng,12000,25000,cheap,1,,x,,x,,,,,,,,,x,
108,108,đệ nhất quán – láng hạ,7.6,quận đống đa,nhà hàng,150000,200000,medium,2,,,,,,,,,x,,,,,
109,109,xôi hiệp hòa - đê la thành,6.0,quận đống đa,nhà hàng,30000,66000,cheap,1,,x,,x,,,,,,,,,,
110,110,vịt 34 - đê la thành,7.0,quận ba đình,nhà hàng,15000,380000,medium,2,,,,,,,,,x,,,,,
111,111,trà sữa mixue - đê la thành,7.4,quận đống đa,cafe tráng miệng,30000,60000,cheap,1,,,x,,,,,,,,,x,x,
112,112,quán lươn huyền trang - đê la thành,6.3,quận đống đa,nhà hàng,25000,125000,medium,2,,,,,,,,,x,,,,,
113,113,fê – nhà hàng lẩu - đê la thành,7.0,quận đống đa,nhà hàng,130000,230000,medium,2,,,,,,,,,x,,,,,
114,114,cơm ngũ vị - shop online - đê la thành,8.0,quận ba đình,delivery,30000,60000,cheap,1,,x,x,x,,,,,x,,,,,
115,115,bánh gối oanh oanh - đê la thành,7.1,quận ba đình,ăn vặt vỉa hè,4000,30000,cheap,1,,,,,,,,,,,,,x,
116,116,bami sot - bánh mì đen - đa sỹ,7.1,quận hà đông,ăn vặt vỉa hè,15000,40000,cheap,1,,x,,x,,,,,,,,,x,
117,117,trà sữa sharetea - đào tấn,6.1,quận ba đình,cafe tráng miệng,40000,80000,cheap,1,,,x,,,,,,,,,x,x,
118,118,trà sữa heytea - đào tấn,6.7,quận ba đình,cafe tráng miệng,30000,60000,cheap,1,,,x,,,,,,,,,x,x,
119,119,tiger sugar delivery - đường nâu sữa đài loan - đào tấn,5.6,quận ba đình,cafe tráng miệng,29000,66000,cheap,1,,,x,,,,,,,,x,x,x,
120,120,the alley - trà sữa đài loan - đào tấn,6.6,quận ba đình,cafe tráng miệng,41000,70000,cheap,1,,,x,,,,,,,,,x,x,
121,121,taki taki - đào tấn,7.6,quận ba đình,nhà hàng,300000,500000,expensive,3,,,,,,,,,x,,,,,
122,122,matsuri izakaya - đào tấn,7.6,quận ba đình,nhà hàng,250000,400000,medium,2,,,,,,,,,x,,,,,
123,123,king bbq - đào tấn,7.0,quận ba đình,nhà hàng,45000,55000,cheap,1,,,,,,,,,x,,,,,
124,124,kegon japanese restaurant - đào tấn,7.6,quận ba đình,nhà hàng,200000,500000,expensive,3,,,,,,,,,x,,,,,
125,125,kampong chicken house - cơm gà hải nam - đào tấn,7.2,quận ba đình,nhà hàng,30000,89000,cheap,1,,x,x,x,,,,,x,,,,,
126,126,huế restaurant - đào tấn,7.5,quận ba đình,nhà hàng,50000,800000,expensive,3,,,,,,,,,x,,,,,
127,127,helio coffee - đào tấn,7.8,quận ba đình,cafe tráng miệng,30000,100000,cheap,1,,,x,,,,,,,,,x,x,
128,128,gimbab hàn quốc - đào tấn,6.0,quận ba đình,nhà hàng,80000,100000,cheap,1,x,,,,,,x,,,,,,,
129,129,fukurai - đào tấn,7.0,quận ba đình,nhà hàng,400000,500000,expensive,3,,,,,,,,,x,,,,,
130,130,duy tùng - mì trộn indomie - đào tấn,7.9,quận ba đình,nhà hàng,10000,50000,cheap,1,x,x,,x,x,,,,,,,,,
131,131,ding tea - đào tấn,7.3,quận ba đình,cafe tráng miệng,25000,60000,cheap,1,,,,,,,,,,,,,x,
132,132,bò king beefsteak - đào tấn,7.4,quận ba đình,nhà hàng,150000,250000,medium,2,,,,,,,,,x,,,,x,
133,133,bánh su kem singapore chewy junior - đào tấn,7.4,quận ba đình,bánh ngọt,15000,250000,medium,2,,,,,,,,,,,,,x,x
134,134,bangkok thai kitchen - đào tấn,7.4,quận ba đình,nhà hàng,90000,120000,medium,2,,,,,,,,,x,,,,,
135,135,an nam cháo - đào tấn,6.6,quận ba đình,nhà hàng,50000,170000,medium,2,,,,,,,,,x,,,,,
136,136,gạo restaurant - đào duy từ,7.0,quận hoàn kiếm,nhà hàng,150000,300000,medium,2,,,,,,,,,x,,,,,
137,137,full house pizza - đào duy từ,7.0,quận hoàn kiếm,nhà hàng,100000,200000,medium,2,,,,,,,,,,x,,,,
138,138,phan - lẩu các món - đào duy anh,6.8,quận đống đa,nhà hàng,50000,250000,medium,2,,,,,,,,,x,,,,,
139,139,vựa hải sản - đành đạch quán kđt cổ nhuế,7.0,quận bắc từ liêm,nhà hàng,250000,400000,medium,2,,,,,,,,,x,,,,,
140,140,trà sữa taster's choice - đặng văn ngữ,6.6,quận hoàn kiếm,cafe tráng miệng,20000,50000,cheap,1,,,x,,,,,,,,,x,x,
141,141,the canteen - food & drinks - đặng văn ngữ,6.9,quận đống đa,ăn vặt vỉa hè,10000,40000,cheap,1,x,x,,,x,,,,,,,,x,
142,142,my healthy corner - shop online - đặng văn ngữ,7.1,quận đống đa,delivery,40000,60000,cheap,1,,,,,,,,,,,,,,
143,143,korean kitchen - bếp hàn online - đặng văn ngữ,7.9,quận đống đa,delivery,25000,100000,cheap,1,,,,,,,,,,,,,,
144,144,kều xay sạch - ẩm thực hàn quốc - đặng văn ngữ,7.0,quận đống đa,nhà hàng,60000,120000,medium,2,x,,,,,,,,,,,,,
145,145,cột điện quán - bánh mì chảo - đặng văn ngữ,7.0,quận đống đa,nhà hàng,25000,50000,cheap,1,,x,,x,,,,,,,,,x,
146,146,cạp - seafood - đặng văn ngữ,6.8,quận đống đa,nhà hàng,100000,300000,medium,2,,,,,,,,,x,,,,,
147,147,bún ngon atom - đặng văn ngữ,6.5,quận đống đa,nhà hàng,20000,100000,cheap,1,,,x,x,,x,,,,,,,,
148,148,bún miến ngan d2 - đặng văn ngữ,6.9,quận đống đa,nhà hàng,30000,200000,medium,2,,,x,x,,x,,,,,,,,
149,149,brohotdog - hotdog & drink - đặng văn ngữ,7.4,quận đống đa,ăn vặt vỉa hè,20000,60000,cheap,1,x,x,,,x,,,,,,,,x,
150,150,bé bự quán - đặng văn ngữ,7.5,quận đống đa,nhà hàng,10000,185000,medium,2,,,,,,,,,x,,,,,
151,151,bánh mì hà nội - đặng văn ngữ,9.4,quận đống đa,nhà hàng,20000,50000,cheap,1,,x,,x,,,,,,,,,x,
152,152,xuýt xoa xì xụp - lẩu & chảo - đặng tiến đông,6.6,quận đống đa,nhà hàng,30000,300000,medium,2,,,,,,,,,x,,,,,
153,153,chocolate passion - shop online - đặng thái thân,7.5,quận hoàn kiếm,delivery,50000,150000,medium,2,,,,,,,,,,,,,x,
154,154,sen đầm trị - đặng thai mai,7.8,quận tây hồ,nhà hàng,180000,250000,medium,2,,,,,,,,,x,,,,,
155,155,phúc long coffee & tea - đặng thai mai,9.0,quận tây hồ,cafe tráng miệng,32000,139000,medium,2,,,x,,,,,,,,,x,x,
156,156,gánh bún ốc cô huê - đặng dung,7.4,quận ba đình,ăn vặt vỉa hè,20000,35000,cheap,1,x,,x,x,,x,,,,,,,,
157,157,tào phớ & nem chua rán - đại từ,7.7,quận hoàng mai,ăn vặt vỉa hè,20000,50000,cheap,1,x,x,,,x,,,,,,,,x,
158,158,chè dừa thái lan 365 - đại từ,7.1,quận hoàng mai,cafe tráng miệng,15000,30000,cheap,1,,,x,,,,,,,,x,x,x,
159,159,twitter beans coffee - đại lộ thăng long,7.7,quận nam từ liêm,cafe tráng miệng,28000,55000,cheap,1,,,x,,,,,,,,,x,x,
160,160,quẩy nóng - đại la,6.9,quận hai bà trưng,ăn vặt vỉa hè,15000,30000,cheap,1,x,x,,,x,,,,,,,,x,
161,161,nhím quán - bánh tráng trộn sài gòn - đại la,6.0,quận hai bà trưng,ăn vặt vỉa hè,15000,30000,cheap,1,x,,,,,,,,,,,,x,
162,162,lẩu thái đế vương - food house - đại la,7.7,quận hai bà trưng,nhà hàng,50000,229000,medium,2,,,,,,,,,x,,,,,
163,163,kem tràng tiền - đại la,7.1,quận hai bà trưng,cafe tráng miệng,8000,20000,cheap,1,,,x,,,,,,,,,,x,
164,164,bún đậu cây bàng - đại la,5.9,quận hai bà trưng,nhà hàng,20000,35000,cheap,1,x,,x,x,,x,,,,,,,,
165,165,"xinyi - cơm vịt quay, gà nướng & chè kem đài loan online - đại học hà nội",6.9,quận hà đông,delivery,30000,100000,cheap,1,,x,x,x,,,,,x,,,,x,
166,166,trà sữa pozaa tea - đại học hà nội,7.7,quận thanh xuân,cafe tráng miệng,25000,50000,cheap,1,,,x,,,,,,,,,x,x,
167,167,thai taste - đại học hà nội,6.6,quận thanh xuân,cafe tráng miệng,50000,100000,cheap,1,,,x,,,,,,,,x,x,x,
168,168,chè bun hà nội - kem & sữa chua trân châu - đại học hà nội,1.8,quận nam từ liêm,cafe tráng miệng,15000,33000,cheap,1,,,,,,,,,,,,x,x,x
169,169,trà sữa bobapop - đại cồ việt,7.5,quận hai bà trưng,cafe tráng miệng,23000,48000,cheap,1,,,x,,,,,,,,,x,x,
170,170,taco zone - đại cồ việt,7.4,quận hai bà trưng,nhà hàng,80000,100000,cheap,1,,,,,,,,,x,,,,,
171,171,pizza home - đại cồ việt,3.1,quận hai bà trưng,nhà hàng,50000,165000,medium,2,,,,,,,,,,x,,,,
172,172,nhắng nướng - đại cồ việt,6.3,quận hai bà trưng,nhà hàng,50000,110000,medium,2,,,,,,,,,x,,,,,
173,173,maxi burger - đại cồ việt,7.0,quận hai bà trưng,nhà hàng,100000,150000,medium,2,,,,,,,,,x,,,,,
174,174,lu quán - đại cồ việt,7.6,quận hai bà trưng,nhà hàng,100000,180000,medium,2,,,,,,,,,x,,,,,
175,175,lẩu nướng thìn béo - đại cồ việt,7.2,quận hai bà trưng,nhà hàng,100000,165000,medium,2,,,,,,,,,x,,,,,
176,176,xưởng 3+ cafe - đại an,7.6,quận hà đông,cafe tráng miệng,10000,35000,cheap,1,,,x,,,,,,,,,x,x,
177,177,lobster - đặc sản tôm hùm,6.7,quận cầu giấy,nhà hàng,150000,550000,expensive,3,,,,,,,,,x,,,,,
178,178,xôi chả mực kim thuỷ - đặc sản hạ long,9.6,quận hai bà trưng,delivery,15000,45000,cheap,1,,x,,x,,,,,,,,,,
179,179,zun kun's coffee,7.3,quận tây hồ,cafe tráng miệng,25000,60000,cheap,1,,,x,,,,,,,,,x,x,
180,180,zen sheep tea,7.1,quận long biên,cafe tráng miệng,15000,30000,cheap,1,,,,,,,,,,,,,x,
181,181,yixin – lẩu hồng kông – láng hạ,7.6,quận ba đình,nhà hàng,100000,150000,medium,2,,,,,,,,,x,,,,,
182,182,tanh tách - seafood society - yết kiêu,9.0,quận hai bà trưng,nhà hàng,300000,600000,expensive,3,,,,,,,,,x,,,,,
183,183,octopus king - nhà hàng vua bạch tuộc - yết kiêu,7.7,quận hoàn kiếm,nhà hàng,100000,400000,medium,2,,,,,,,,,x,,,,,
184,184,bánh tráng trộn - yết kiêu,7.2,quận hai bà trưng,ăn vặt vỉa hè,15000,30000,cheap,1,x,,,,,,,,,,,,x,
185,185,bánh tráng thịt heo phú cường - yết kiêu,7.6,quận hai bà trưng,nhà hàng,150000,250000,medium,2,x,,,,,,,,,,,,x,
186,186,bánh mì phúc - yết kiêu,6.0,quận hai bà trưng,nhà hàng,70000,100000,cheap,1,,x,,x,,,,,,,,,x,
187,187,bánh cuốn gia an - yết kiêu,1.9,quận hai bà trưng,nhà hàng,15000,50000,cheap,1,,x,x,,,,,,,,,,x,
188,188,bún bò huế ngự uyển - yên xá,7.1,quận hà đông,nhà hàng,25000,60000,cheap,1,,,x,x,,x,,,x,,,,,
189,189,pizza ông tây - yên phụ,7.1,quận tây hồ,nhà hàng,50000,350000,medium,2,,,,,,,,,,x,,,,
190,190,phở hằng - yên phụ,7.7,quận ba đình,nhà hàng,20000,40000,cheap,1,,,,,,x,,,,,,,,
191,191,narak dessert - yên phụ,7.5,quận ba đình,cafe tráng miệng,15000,49000,cheap,1,,,x,,,,,,,,x,x,x,
